NO,Àü¿ë¸éÀû(§³),¿ù¼¼±Ý(¸¸¿ø),Ãþ_2019,Ãþ_2020,Ãþ_2021,Ãþ_2022,Ãþ_2023,°ÇÃà³âµµ,X,Y,ÃÖÁ¾ Áý°ª(¸¸¿ø)
36316.42,25.96,13.84,1.97,1.97,1.97,1.97,1.97,2015.67,127.02,37.48,27647.07
46976.41,29.33,76.54,12.25,12.25,12.25,12.25,12.25,2016.37,127.07,37.57,13810.19
33947.92,4.97,44.69,1.4,1.4,1.4,1.4,1.4,2013.74,127.26,37.54,15291.56
55093.03,53.18,14.38,7.17,7.17,7.17,7.17,7.17,2010.43,126.79,37.57,17116.46
34079.08,50.9,8.14,1.29,1.29,1.29,1.29,1.29,2009.52,126.84,37.53,16795.07
44857.66,10.32,135.95,7.33,7.33,7.33,7.33,7.33,2009.88,126.92,37.55,15108.4
43917.08,3.38,95.06,1.3,1.3,1.3,1.3,1.3,2018.74,127.02,37.57,9599.5
15187.76,27.13,10.92,14.14,14.14,14.14,14.14,14.14,2015.24,127.11,37.59,21253.09
31131.29,34.34,21.33,7.97,7.97,7.97,7.97,7.97,2009.43,126.87,37.52,36879.97
13619.91,7.99,66.17,4.17,4.17,4.17,4.17,4.17,2003.86,126.95,37.52,17370.56
37371.16,31.66,5.37,1.9,1.9,1.9,1.9,1.9,2008.24,126.97,37.53,9878.25
26128.6,35.03,38.6,0.67,0.67,0.67,0.67,0.67,2008.15,127.04,37.54,37659.71
61691.81,48.72,2.78,12.18,12.18,12.18,12.18,12.18,1999.68,126.89,37.5,23311.77
24011.73,52.4,18.95,0.03,0.03,0.03,0.03,0.03,2003.21,126.94,37.49,35143.6
48584.78,20.79,14.73,13.73,13.73,13.73,13.73,13.73,2003.36,126.89,37.49,6531.47
49098.28,37.07,117.58,1.24,1.24,1.24,1.24,1.24,2003.27,126.82,37.6,24674.22
28521.92,63.02,21.3,2.87,2.87,2.87,2.87,2.87,1997.48,126.91,37.54,24636.62
50367.46,40.1,80.72,2.83,2.83,2.83,2.83,2.83,2006.86,126.98,37.65,8918.81
33617.72,35.31,37.99,1.44,1.44,1.44,1.44,1.44,2008.09,126.96,37.5,21867.56
41701.74,31.49,64.19,7.5,7.5,7.5,7.5,7.5,2001.6,126.95,37.52,10851.16
23695.63,48.99,82.64,4.18,4.18,4.18,4.18,4.18,2012.21,127.03,37.61,21129.29
39875.6,67.53,11.79,3.08,3.08,3.08,3.08,3.08,1997.82,126.85,37.44,31750.9
44048.97,33.28,91.78,14.6,14.6,14.6,14.6,14.6,2022.78,127.1,37.51,4344.63
47973.79,32.8,25.58,9.06,9.06,9.06,9.06,9.06,2006.44,126.9,37.5,13194.1
3945.28,8.16,12.77,4.44,4.44,4.44,4.44,4.44,2012.7,127.01,37.55,35160.48
46104.67,43.44,55.53,3.65,3.65,3.65,3.65,3.65,2020.45,126.96,37.46,13963.95
84263.79,60.25,36.22,12.15,12.15,12.15,12.15,12.15,2007.36,126.89,37.52,627.15
54558.35,20.28,14.65,3.95,3.95,3.95,3.95,3.95,2006.91,127.1,37.56,28387.92
70135.09,30.11,32.29,10.1,10.1,10.1,10.1,10.1,2013.49,126.92,37.53,22010.18
38645.25,21.68,95.25,9.37,9.37,9.37,9.37,9.37,2003.56,126.96,37.52,11107.55
14312.05,11.38,38.66,2.99,2.99,2.99,2.99,2.99,2013.77,126.91,37.49,24991.33
64173.71,16.22,40.32,9.65,9.65,9.65,9.65,9.65,2007.86,126.99,37.58,22875.22
25832.27,16.94,127.67,2.13,2.13,2.13,2.13,2.13,2011.13,127.27,37.5,10189.48
71746.27,41.29,67.11,3.65,3.65,3.65,3.65,3.65,2019.35,127.06,37.48,32268
10288.09,29.28,76.72,9.21,9.21,9.21,9.21,9.21,2012.37,127.08,37.53,23303.56
42711.06,47.8,39,17.93,17.93,17.93,17.93,17.93,2027.51,127.09,37.58,12788.96
51223.54,33.23,114.5,9.76,9.76,9.76,9.76,9.76,2012.98,127.14,37.58,31020.16
31953.69,0.47,21.82,12.07,12.07,12.07,12.07,12.07,2022.63,126.93,37.5,40369.03
45056.43,20.46,5.82,10.02,10.02,10.02,10.02,10.02,2010.32,126.77,37.52,27865.88
41076.76,9.26,40.23,0.57,0.57,0.57,0.57,0.57,2018.9,126.87,37.47,37084.93
16544.46,35.05,36.92,13.75,13.75,13.75,13.75,13.75,2008.79,126.84,37.52,21546.1
78775.57,71.65,72.69,9.06,9.06,9.06,9.06,9.06,2006.45,127.01,37.55,15351.83
10136.78,32.74,99.36,1.93,1.93,1.93,1.93,1.93,2027.81,126.89,37.46,4426.15
29296.88,17.5,3.58,2.23,2.23,2.23,2.23,2.23,2018.36,127.11,37.61,20362.67
21515.68,55.35,34.81,6.43,6.43,6.43,6.43,6.43,2007,127.03,37.48,20848.05
7527.99,38.4,103.82,7.38,7.38,7.38,7.38,7.38,2014.38,126.89,37.56,2896.69
29699.84,3.18,21.44,5.84,5.84,5.84,5.84,5.84,2012.61,126.96,37.58,17663.26
23838.26,44.19,45.42,13.59,13.59,13.59,13.59,13.59,2010.18,126.91,37.57,19640.28
21722.82,38.54,6.68,2.62,2.62,2.62,2.62,2.62,2009.53,127.03,37.55,22068.81
42145.28,52.75,13.82,8.52,8.52,8.52,8.52,8.52,2006.3,127.06,37.58,31631.33
39982.88,36.61,32.09,7.53,7.53,7.53,7.53,7.53,2025.5,127.04,37.45,27989.05
7854.56,33.95,41.12,9.09,9.09,9.09,9.09,9.09,2013.41,126.96,37.52,8295.93
31805.04,61.91,5.92,4.96,4.96,4.96,4.96,4.96,2008.13,126.97,37.5,25938.18
51518.6,36.82,38.56,4.19,4.19,4.19,4.19,4.19,2012.17,126.93,37.59,42280.51
58252.39,46.75,25.95,4.69,4.69,4.69,4.69,4.69,2022.25,127.05,37.51,20908.56
39001.92,14.88,56.7,1.37,1.37,1.37,1.37,1.37,2014.5,127.04,37.62,18377.4
20982.62,67.14,35.18,1.39,1.39,1.39,1.39,1.39,1996,126.82,37.43,45691.46
24991.59,6.65,43.36,7.62,7.62,7.62,7.62,7.62,2017.64,127.04,37.57,19114.1
66210.34,25.53,91.65,2.92,2.92,2.92,2.92,2.92,2000.58,126.86,37.46,16079.91
38977.62,32.09,41.53,9.21,9.21,9.21,9.21,9.21,2023.84,127.03,37.5,25395.7
42143.48,24.65,23.61,8.22,8.22,8.22,8.22,8.22,2017.04,126.91,37.55,25482.73
32125.04,34.29,47.94,3.36,3.36,3.36,3.36,3.36,2018.74,126.86,37.57,16769.31
51638.48,2.92,21.73,5.27,5.27,5.27,5.27,5.27,2012.73,126.86,37.52,3129.95
33357.47,50.96,21.38,11.05,11.05,11.05,11.05,11.05,2013.82,127.01,37.52,8968.29
27304.15,24.69,23.38,9.89,9.89,9.89,9.89,9.89,2014.49,126.99,37.54,8382.57
32950.74,14.84,49.01,2.61,2.61,2.61,2.61,2.61,2011.29,126.94,37.49,23600.93
34002.74,24.08,19.51,6.49,6.49,6.49,6.49,6.49,2011.72,127.09,37.6,4332.04
35313.86,33.21,75.65,11.85,11.85,11.85,11.85,11.85,2013.92,126.94,37.58,4094.62
30490.06,40.35,17.86,7.98,7.98,7.98,7.98,7.98,2000.35,126.94,37.54,28102.4
44964.9,3.85,11.47,1.02,1.02,1.02,1.02,1.02,2016.8,127.09,37.53,20708.58
33282.25,23.43,52.17,3.4,3.4,3.4,3.4,3.4,2011.57,126.93,37.43,15614.23
38228.44,48.8,74.08,14.24,14.24,14.24,14.24,14.24,2022.71,127.16,37.51,5273.75
21124.31,60.45,45.17,3.44,3.44,3.44,3.44,3.44,2009.66,126.88,37.54,29688.15
27761.32,37.7,14.33,9.11,9.11,9.11,9.11,9.11,2009.11,127.05,37.56,17063.4
36904.6,31.75,63.61,4.81,4.81,4.81,4.81,4.81,2011.66,126.86,37.59,36267.72
31008.97,7.37,49.01,8.16,8.16,8.16,8.16,8.16,2006.02,126.91,37.55,2366.29
21459.07,44.89,13.25,2.43,2.43,2.43,2.43,2.43,2008.09,126.96,37.56,26851.77
37034.66,68.92,74.49,7.71,7.71,7.71,7.71,7.71,2009.5,126.95,37.51,37102.16
16432.84,27.97,150.34,0.28,0.28,0.28,0.28,0.28,2013.24,126.97,37.52,9328.58
27856.38,18.34,48.95,18.31,18.31,18.31,18.31,18.31,2021.86,127,37.48,32363.37
54080.25,14.91,49.12,3.69,3.69,3.69,3.69,3.69,2011.77,126.88,37.5,2501.12
25193.78,27.65,5.94,7.65,7.65,7.65,7.65,7.65,2004.51,126.91,37.53,15168.49
45329.33,6.65,91.52,12.34,12.34,12.34,12.34,12.34,2012.34,127.1,37.54,5495.48
41681.48,12.9,58.64,0.53,0.53,0.53,0.53,0.53,2023.25,126.81,37.58,27781.22
44087.47,20.42,19.14,6.23,6.23,6.23,6.23,6.23,2017.22,126.98,37.58,21331.24
33677.86,51.34,7.91,2.66,2.66,2.66,2.66,2.66,2009.91,127.08,37.51,21838.88
27566.13,76.6,37.11,14.07,14.07,14.07,14.07,14.07,1997.16,127.07,37.6,30635.93
37704.75,11.77,15.02,12.02,12.02,12.02,12.02,12.02,2010.28,126.89,37.55,6011.54
15918.29,45.08,36.2,15.43,15.43,15.43,15.43,15.43,1988.39,127.06,37.49,23095.01
17808.31,27.51,38.89,6.7,6.7,6.7,6.7,6.7,2022.87,127.01,37.56,11024.63
52697.17,30.52,17.73,5.71,5.71,5.71,5.71,5.71,2019.66,126.93,37.49,28777.7
16416.42,39.93,103.09,14,14,14,14,14,2022.5,127.02,37.56,24517.51
38733.03,29.09,49.94,3.31,3.31,3.31,3.31,3.31,2006.5,127.06,37.54,20358.36
33984.85,55.74,56.1,8.1,8.1,8.1,8.1,8.1,2005.56,127.23,37.53,20177.43
34091.58,32.49,59.02,10.9,10.9,10.9,10.9,10.9,2021.33,126.99,37.48,44104.76
50047.3,18.45,27.67,10.62,10.62,10.62,10.62,10.62,2011.62,127.02,37.54,9363.12
4540.18,25.76,34.14,16.17,16.17,16.17,16.17,16.17,2016.41,126.94,37.57,29378.98
18331.12,27.73,8.44,5.35,5.35,5.35,5.35,5.35,2023.6,126.91,37.57,37913.38
62980.93,23.58,4.9,8.23,8.23,8.23,8.23,8.23,2017.19,127.13,37.46,17613.81
12405.88,64.62,72.59,5.43,5.43,5.43,5.43,5.43,2022.39,127.15,37.46,37805.4
35466.05,60.3,23.91,7.9,7.9,7.9,7.9,7.9,2015.24,126.95,37.53,14694.82
60377.08,42.59,9.09,14.12,14.12,14.12,14.12,14.12,2020.36,126.9,37.55,23874.22
69524.37,57.25,9.98,2.91,2.91,2.91,2.91,2.91,2023.79,126.99,37.52,8985.23
57651.24,65.51,83.04,2.68,2.68,2.68,2.68,2.68,2011.7,127,37.55,23898.72
13569.48,20.31,88.35,7.5,7.5,7.5,7.5,7.5,2005.29,126.96,37.55,18132.92
48376.44,59.67,64.72,3.08,3.08,3.08,3.08,3.08,2003.09,127,37.56,32184.98
47457.3,15.83,98.02,1.36,1.36,1.36,1.36,1.36,2013.66,126.8,37.6,18550.48
9888.15,37.88,14.8,2.78,2.78,2.78,2.78,2.78,2010.81,127.18,37.61,26792.82
32469.72,18.7,41.06,7.86,7.86,7.86,7.86,7.86,2015.48,127.05,37.48,30410.8
57374.48,23.8,40.3,4.64,4.64,4.64,4.64,4.64,2003.95,127.04,37.55,8905.54
43573.78,9.76,5.08,19.02,19.02,19.02,19.02,19.02,2009.82,127.04,37.48,4949.52
19596.04,22.55,38.89,7.6,7.6,7.6,7.6,7.6,2029.21,127.03,37.55,37277.88
60409.94,44.22,87.38,7.25,7.25,7.25,7.25,7.25,2008.94,126.96,37.52,31798.54
44692.25,6.55,56.71,12.21,12.21,12.21,12.21,12.21,2015.76,126.87,37.56,6104.03
32101.97,36.89,108.61,7.34,7.34,7.34,7.34,7.34,2017.06,126.98,37.57,21239.92
42416.57,20.25,64.09,0.42,0.42,0.42,0.42,0.42,2004.68,126.94,37.53,18819.12
10242.56,27.8,76.61,4.13,4.13,4.13,4.13,4.13,2004.54,126.89,37.54,15362.25
58328.47,27.91,81.42,8.01,8.01,8.01,8.01,8.01,2013.06,126.84,37.57,24324.16
15834.71,38,7.82,8.43,8.43,8.43,8.43,8.43,2011.8,126.95,37.58,34984.49
58571.3,24.67,24.95,5.57,5.57,5.57,5.57,5.57,2007.79,126.92,37.49,28932.62
7209.04,11.15,3.34,14.02,14.02,14.02,14.02,14.02,2030.42,126.99,37.52,31861.59
39552.42,38.85,60.41,8.87,8.87,8.87,8.87,8.87,2021.13,126.92,37.5,31346.93
48827.59,31.74,54.03,8.96,8.96,8.96,8.96,8.96,2008.73,126.95,37.53,28439.22
71081.85,7.34,12.76,1.77,1.77,1.77,1.77,1.77,2011.41,127.06,37.5,3611.74
7659.94,12.09,34.46,4.41,4.41,4.41,4.41,4.41,2005.57,127,37.57,9187.06
44265.72,22.98,61.31,8.18,8.18,8.18,8.18,8.18,2018.57,126.93,37.53,12096.39
16330.2,3.13,39.81,8.6,8.6,8.6,8.6,8.6,2003.13,126.79,37.63,18306.65
33275.36,10.86,20.3,8.06,8.06,8.06,8.06,8.06,2025.14,126.89,37.57,25532.83
48038.46,58.52,130.05,1.92,1.92,1.92,1.92,1.92,2003.14,126.94,37.57,42514.71
71937.54,23.23,47.34,2.27,2.27,2.27,2.27,2.27,2011.41,126.89,37.53,14841.18
46550.52,4.52,30.98,7.78,7.78,7.78,7.78,7.78,2025.26,126.88,37.59,28756.67
4925.59,18.78,17.27,3.33,3.33,3.33,3.33,3.33,2013.79,126.95,37.5,46052.14
66380.3,6.43,62.99,0.2,0.2,0.2,0.2,0.2,2023.3,126.79,37.5,9803.81
11934.65,45.67,22.95,13.2,13.2,13.2,13.2,13.2,2008,127,37.5,15561.49
52118.36,50.33,22.23,9.04,9.04,9.04,9.04,9.04,2003.17,127.09,37.54,15334.31
56816.78,31.21,96,5.56,5.56,5.56,5.56,5.56,2012.14,126.99,37.56,8118.4
10264.12,42.12,5.06,8.12,8.12,8.12,8.12,8.12,2014.26,127.02,37.51,1145.19
50490.45,34.52,62.5,8.75,8.75,8.75,8.75,8.75,2013.61,126.99,37.52,14565.13
4538.48,43.72,17.35,14.74,14.74,14.74,14.74,14.74,2004.93,126.86,37.57,24410.65
16948.03,19.02,67.11,13.73,13.73,13.73,13.73,13.73,2026.51,126.93,37.52,656.85
26380.74,23.16,28.54,6.96,6.96,6.96,6.96,6.96,2013.83,126.99,37.54,12972.53
18448.07,55.73,23.82,11.22,11.22,11.22,11.22,11.22,2019.55,126.85,37.51,13092.65
48977.42,31.33,16.84,6.95,6.95,6.95,6.95,6.95,2017.89,126.84,37.53,19654
40462.97,30.78,12.36,11.39,11.39,11.39,11.39,11.39,2022.29,127.02,37.54,6000.41
25104.99,10.93,39.87,13.4,13.4,13.4,13.4,13.4,2010.8,126.92,37.53,21622.07
32503.59,41.98,62.81,13.53,13.53,13.53,13.53,13.53,2015.75,126.88,37.61,34978.35
34240.84,26.34,68.2,19.9,19.9,19.9,19.9,19.9,2012.56,127.03,37.54,23711.81
48884.87,36.74,8.99,15.29,15.29,15.29,15.29,15.29,2016.57,127.04,37.48,24385.6
32480.17,52.64,108.78,5.83,5.83,5.83,5.83,5.83,2013.25,126.98,37.53,40352.41
26881.92,18.2,69.1,7.23,7.23,7.23,7.23,7.23,2018.01,126.88,37.47,539.49
18030.41,16.91,37.23,1.61,1.61,1.61,1.61,1.61,2002.77,126.93,37.55,14370.46
3736.61,18.11,28.91,9.74,9.74,9.74,9.74,9.74,2010.26,126.95,37.5,26663.1
27282.86,62.07,95.91,6.06,6.06,6.06,6.06,6.06,2013.93,126.97,37.57,30912.97
61769.1,23.71,19.31,3.61,3.61,3.61,3.61,3.61,2018.73,127.15,37.44,4313.76
48308.25,18.04,59.48,0.14,0.14,0.14,0.14,0.14,2016.01,127.08,37.62,15713.4
3528.25,54.41,30.55,10.82,10.82,10.82,10.82,10.82,2015.18,126.9,37.47,22099.92
35075.94,17.75,47.14,4.18,4.18,4.18,4.18,4.18,2010.34,127.11,37.47,15188.23
13922.42,37.2,20.03,13.54,13.54,13.54,13.54,13.54,2026.74,126.88,37.53,36940.85
27604.83,43.58,43.99,16.04,16.04,16.04,16.04,16.04,2008.39,126.96,37.55,8500.22
69079.46,21.21,7.03,9.07,9.07,9.07,9.07,9.07,2014.11,127.08,37.46,36256.64
32958.58,20.65,35.98,14.34,14.34,14.34,14.34,14.34,2008.03,126.88,37.56,22074.97
56210.9,26.15,4.38,4.29,4.29,4.29,4.29,4.29,2008.37,127.1,37.45,7279.34
49636.48,36.79,65.82,11.46,11.46,11.46,11.46,11.46,1999.01,127.01,37.59,15692.33
54295.08,63.31,63.81,7.4,7.4,7.4,7.4,7.4,2006.84,126.89,37.48,10208.24
47192.29,5.75,46.27,2.72,2.72,2.72,2.72,2.72,2006.62,126.93,37.51,30662.54
10157.81,9.87,25.25,11.25,11.25,11.25,11.25,11.25,2005.55,126.95,37.57,21803.3
77071.72,16.84,16.5,0.69,0.69,0.69,0.69,0.69,2019.99,126.71,37.55,25512.61
34649.61,51.83,15.24,6.09,6.09,6.09,6.09,6.09,2015.71,127.12,37.58,23488.5
50077.08,7.35,3.13,6.52,6.52,6.52,6.52,6.52,1993.58,127,37.56,8993.61
42554,0.09,15.07,0.21,0.21,0.21,0.21,0.21,2013.1,126.86,37.56,23174.69
63743.69,39.33,84.09,15.25,15.25,15.25,15.25,15.25,2013.36,126.89,37.56,27965.05
26044.28,28.63,48.32,4.57,4.57,4.57,4.57,4.57,2025.77,126.93,37.52,22914.63
48700.32,3.9,24.83,6.39,6.39,6.39,6.39,6.39,2007.71,127.03,37.54,18320.03
72980,41.86,1.9,8.76,8.76,8.76,8.76,8.76,2011.54,126.94,37.54,29946.6
56160.25,64.17,64.45,3.65,3.65,3.65,3.65,3.65,2005.14,127.02,37.59,13707.16
66790.18,15.09,127.21,7.14,7.14,7.14,7.14,7.14,2017.23,126.93,37.57,28239.44
42501.27,18.45,15.28,3.78,3.78,3.78,3.78,3.78,2009.8,126.86,37.6,10671.06
36056.57,18.81,136.85,16.76,16.76,16.76,16.76,16.76,2014.05,126.89,37.51,33745.51
57375.56,62.69,11.15,15.24,15.24,15.24,15.24,15.24,2008.57,127.04,37.57,30302.48
55364.38,22,6.87,12.73,12.73,12.73,12.73,12.73,2013.6,126.96,37.5,18918.08
64789.47,31.56,27.14,7.04,7.04,7.04,7.04,7.04,2000.35,127.11,37.54,11347.31
62544.07,39.83,5.99,9.4,9.4,9.4,9.4,9.4,2018.58,127.09,37.59,38768.52
46720.31,7.8,41.1,3.34,3.34,3.34,3.34,3.34,2006.66,126.99,37.53,6948.93
32768.99,38.82,1.84,3.63,3.63,3.63,3.63,3.63,2020.68,127.19,37.54,7582.3
33713.2,22.3,28.09,3.92,3.92,3.92,3.92,3.92,1998.84,126.98,37.54,13286.78
16678.44,29.02,41.93,4.14,4.14,4.14,4.14,4.14,2012.24,127.22,37.52,12228.8
63556.31,36.71,95.13,5.77,5.77,5.77,5.77,5.77,2008.87,127.02,37.55,27718.91
54854.53,41.33,15.59,6.94,6.94,6.94,6.94,6.94,2005.69,126.85,37.57,35297.88
36528.04,26.45,11.24,13.01,13.01,13.01,13.01,13.01,2011.98,127.09,37.52,29508.92
30001.26,51.39,23.23,12.51,12.51,12.51,12.51,12.51,2015.22,127,37.49,26746.77
30673.79,23.3,5.86,3.05,3.05,3.05,3.05,3.05,2020.59,126.96,37.53,11107.73
31099.5,40.67,31.53,5.81,5.81,5.81,5.81,5.81,2017.63,127.13,37.5,20982.96
42364.67,49.49,24.79,9.73,9.73,9.73,9.73,9.73,2010.64,126.88,37.56,41426.17
59501.09,10.71,2.13,1.48,1.48,1.48,1.48,1.48,2002.7,126.8,37.51,8085.45
14622.07,32.43,15.5,2.73,2.73,2.73,2.73,2.73,2007.73,127.07,37.5,31943.84
17508.42,47.56,107.3,13.94,13.94,13.94,13.94,13.94,2015.83,126.88,37.47,29587.33
63943.9,44.66,18.36,7.53,7.53,7.53,7.53,7.53,2008.13,127.03,37.55,14763.46
23278.45,53.33,11.74,8.06,8.06,8.06,8.06,8.06,2009.58,127.01,37.5,21778.14
36640.59,21.19,56.19,9.96,9.96,9.96,9.96,9.96,2021.32,126.97,37.49,3391.62
46324.98,41.92,65.02,4.44,4.44,4.44,4.44,4.44,2020.29,126.99,37.51,21644.11
32549.37,49.87,34.84,13.25,13.25,13.25,13.25,13.25,2020.82,126.97,37.49,23999.18
58021.85,55.17,50.78,2.14,2.14,2.14,2.14,2.14,2010.8,127.1,37.48,40028.7
16826.46,45.91,136.63,12.94,12.94,12.94,12.94,12.94,2025.64,126.97,37.64,23274.43
33384.82,14.55,6.6,5.93,5.93,5.93,5.93,5.93,2010.73,126.89,37.52,12418.89
21102.61,28.05,21.05,8.02,8.02,8.02,8.02,8.02,1999.36,126.87,37.55,10758.4
41035.88,68.17,90.15,2.7,2.7,2.7,2.7,2.7,1993.77,126.96,37.53,32825.81
37147.78,12.21,69.42,11.32,11.32,11.32,11.32,11.32,2017.91,127.04,37.5,19918.33
34583.42,14.73,51.48,4.26,4.26,4.26,4.26,4.26,2003.43,126.94,37.58,9266.93
40297.24,51.43,42.02,12.65,12.65,12.65,12.65,12.65,2013.16,126.93,37.51,27802.81
40124.51,44.31,38.26,8.4,8.4,8.4,8.4,8.4,2008.95,127.07,37.5,23807.52
33105.9,49.37,71.16,2.23,2.23,2.23,2.23,2.23,2011.01,127.09,37.54,27149.82
5247.4,27.15,65.19,4.34,4.34,4.34,4.34,4.34,2009.7,126.87,37.52,24529.68
27154.19,58.16,11.84,10.77,10.77,10.77,10.77,10.77,2014.92,127.01,37.49,23222.64
43659.66,45.85,6.54,4.6,4.6,4.6,4.6,4.6,2008.75,127.03,37.6,38385.27
25361.29,42.46,51.77,5.27,5.27,5.27,5.27,5.27,2004.44,126.97,37.47,26219.06
51458.76,66.45,15.75,4.08,4.08,4.08,4.08,4.08,2004.47,126.99,37.56,45411.03
44428.57,43.24,79.64,2.68,2.68,2.68,2.68,2.68,2019.15,126.93,37.52,21959.4
66220.95,25.85,11.4,10.37,10.37,10.37,10.37,10.37,2013.71,126.89,37.56,20462.97
34474.52,65.24,37.97,5.31,5.31,5.31,5.31,5.31,2004.28,126.95,37.54,4292.95
81734.9,35.08,70.48,3.74,3.74,3.74,3.74,3.74,1991.43,126.94,37.51,22588.66
26863.87,32.24,0.58,4.84,4.84,4.84,4.84,4.84,2010.81,127.12,37.5,34377.01
25817.62,41.67,36.47,13.48,13.48,13.48,13.48,13.48,2004.17,126.97,37.55,25410.48
32005.8,50.62,16.74,5.56,5.56,5.56,5.56,5.56,2017.64,127.1,37.62,45763.02
80283.8,35.55,9.8,3.03,3.03,3.03,3.03,3.03,2016.49,126.94,37.55,25812.78
67860.2,27.71,33.65,14.78,14.78,14.78,14.78,14.78,2001.37,126.96,37.51,46311.86
36868.38,21.61,50.54,2.77,2.77,2.77,2.77,2.77,2010.62,126.91,37.56,16065
73242.2,38.16,6.68,4.3,4.3,4.3,4.3,4.3,2017.91,126.84,37.45,6662.02
22.54,52.72,43.18,9.87,9.87,9.87,9.87,9.87,2008.67,126.99,37.51,18310.33
22374.67,39.53,75.86,2.44,2.44,2.44,2.44,2.44,2016.06,126.9,37.51,19018.42
17835.71,3.96,45.27,12.38,12.38,12.38,12.38,12.38,2009.1,126.95,37.56,27520.68
26689.05,53.56,56.69,4.19,4.19,4.19,4.19,4.19,2012.98,127.01,37.56,37124.53
45016.65,0.3,84.56,7.43,7.43,7.43,7.43,7.43,2009.77,126.95,37.51,11563.24
14796.21,55.21,107.22,0.38,0.38,0.38,0.38,0.38,2004.75,126.91,37.54,22587.14
4808.87,50.32,121.88,9.52,9.52,9.52,9.52,9.52,2008.93,126.95,37.48,11420.71
38499.03,35.08,28.68,11.84,11.84,11.84,11.84,11.84,2008.31,127.11,37.58,10607.67
24296.41,16.93,43.15,8,8,8,8,8,2021.37,127.03,37.49,16906.35
44485.84,50.68,69.09,6.6,6.6,6.6,6.6,6.6,2009.98,126.98,37.58,9305.92
33032.08,2.76,33.1,16.63,16.63,16.63,16.63,16.63,2012.54,126.84,37.6,23477.66
48071.68,58.42,27.04,0.05,0.05,0.05,0.05,0.05,2016.99,127.01,37.58,22149.49
18028.65,32.44,77.09,2.66,2.66,2.66,2.66,2.66,2009.84,127,37.59,15418.67
51601.58,21.31,37.97,10.32,10.32,10.32,10.32,10.32,2006.94,126.88,37.48,13460.92
65928.25,38.57,106.66,7.97,7.97,7.97,7.97,7.97,2021.61,127.05,37.6,27706.37
59907.45,54.07,14.73,7.5,7.5,7.5,7.5,7.5,2012.4,126.98,37.51,6882.39
13710.33,29.04,32.7,6.35,6.35,6.35,6.35,6.35,2021.39,126.9,37.51,26218.05
49292.69,26.91,158.75,10.11,10.11,10.11,10.11,10.11,2012.19,126.98,37.54,15502.82
72985.18,43.82,124.67,2.56,2.56,2.56,2.56,2.56,1994.81,126.84,37.55,24434.75
66274.98,29.8,99.94,3.4,3.4,3.4,3.4,3.4,2017.51,126.87,37.52,1417.88
919.33,20.93,17.55,14.3,14.3,14.3,14.3,14.3,2025.39,126.93,37.54,32463.58
38993.09,53.76,0.2,3.82,3.82,3.82,3.82,3.82,2014.45,126.96,37.54,40289.08
90486.08,23.41,68.8,5.73,5.73,5.73,5.73,5.73,2008.91,127.15,37.52,8801.14
44175.21,48.85,153.7,6.73,6.73,6.73,6.73,6.73,2014.97,126.9,37.59,14300.82
47670.41,29.9,26.93,1.2,1.2,1.2,1.2,1.2,2004.43,126.97,37.52,11102.01
63252.21,48.97,18.55,13.63,13.63,13.63,13.63,13.63,2019.7,126.9,37.59,23317
31266.01,49.28,37.99,18.13,18.13,18.13,18.13,18.13,2013.17,127.19,37.6,1500.4
24582.71,51.28,64.72,0.92,0.92,0.92,0.92,0.92,2021.54,127,37.52,38221.19
39540.19,30.98,22.86,8.31,8.31,8.31,8.31,8.31,2010.98,126.98,37.55,19099.41
60684.63,23.85,109.54,8.49,8.49,8.49,8.49,8.49,2002.57,126.9,37.39,17429.26
37234.56,36.63,43.24,0.11,0.11,0.11,0.11,0.11,2015.57,126.96,37.47,13034.97
26134.55,17.04,30.47,1.68,1.68,1.68,1.68,1.68,2032.03,126.88,37.48,22654.36
35001.42,36.93,31.24,6.15,6.15,6.15,6.15,6.15,2005.24,126.98,37.45,28079.82
72173.63,19.14,54.78,4.62,4.62,4.62,4.62,4.62,2020.7,126.8,37.55,45523.8
35589,30.13,22.75,1.04,1.04,1.04,1.04,1.04,2010.69,127.03,37.5,21993.39
43558.09,26.99,16.75,3.03,3.03,3.03,3.03,3.03,2010.14,127.02,37.44,18647.56
26790.2,37.61,13.99,1.07,1.07,1.07,1.07,1.07,2023.86,126.91,37.55,45264.22
11003.88,46.07,123.59,11.25,11.25,11.25,11.25,11.25,2019.76,126.9,37.5,37581.43
32915.17,40.73,25.36,7.85,7.85,7.85,7.85,7.85,2014.16,126.92,37.53,20986.24
52347.58,26.69,31.9,13.85,13.85,13.85,13.85,13.85,2009.31,127.01,37.53,1456.99
47200.48,47.5,81.02,9.76,9.76,9.76,9.76,9.76,2004.53,127.08,37.47,5516.94
44245.39,1.3,16.49,3.52,3.52,3.52,3.52,3.52,2011.04,126.99,37.58,8593.87
40354.89,23.29,9.45,10.95,10.95,10.95,10.95,10.95,2020.71,126.99,37.53,35774.54
58122.07,15.65,18.73,10.9,10.9,10.9,10.9,10.9,2009.01,126.98,37.55,35612.8
3879.35,35.55,4.3,4.74,4.74,4.74,4.74,4.74,2008.03,126.91,37.5,23281.24
66070.19,62.46,104.78,8.49,8.49,8.49,8.49,8.49,2018.72,126.89,37.55,17596.97
